HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2C21QP6AUC26HDH4OQO320FK9MA815,AYJ94IXY9F0HR,Approved,"Tue Jun 12 23:36:17 PDT 2012","Tue Jun 12 23:38:08 PDT 2012",true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2LSHFL42J1LY95M4DWD0PGFKQNMN2O,APMEOBFFLFRLX,Approved,"Tue Jun 12 23:36:56 PDT 2012","Tue Jun 12 23:38:10 PDT 2012",true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2DJY0LWSBRI8MRMZ9J08QHSTULOC0B,AXPLF02A6NNMR,Approved,"Tue Jun 12 23:36:06 PDT 2012","Tue Jun 12 23:38:37 PDT 2012",false,false,true,false,false,true,true,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2KGO2GMMEGOOKN39XV9AH2SER4F993,A3K1IGMEAN3APD,Approved,"Tue Jun 12 23:36:33 PDT 2012","Tue Jun 12 23:38:39 PDT 2012",false,true,true,true,true,true,false,false,true,false,true,true,false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2DGH1XERSQV6AOWMS7K3OVWA4U4802,A3LPO39D3K084H,Approved,"Tue Jun 12 23:36:48 PDT 2012","Tue Jun 12 23:38:58 PDT 2012",false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,true,false,true,true,true,false,false,false,true,false,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2U91Q6SVQ8H8CJ1RHAWOIVCIA1I4N1,A1CR0WA81XE9FW,Approved,"Tue Jun 12 23:37:14 PDT 2012","Tue Jun 12 23:39:48 PDT 2012",true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",24S0OQKKA4IIW53Z5RX87EW0LATZZP,A30JJ6BYT6ZAOO,Approved,"Tue Jun 12 23:37:08 PDT 2012","Tue Jun 12 23:40:23 PDT 2012",true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,false,false,true,true,false,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2NXNQYN5F3Q0NDGQ9BEC3YB4IPU9DK,AG0JZ7YVVD6BM,Approved,"Tue Jun 12 23:37:56 PDT 2012","Tue Jun 12 23:40:43 PDT 2012",true,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2Y3DDP8PJWKUHAJUX0UQA9Z0KGF6HF,A39NSUXZGMM4FE,Approved,"Tue Jun 12 23:36:09 PDT 2012","Tue Jun 12 23:41:20 PDT 2012",true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2O5D2AC9KSSZZU8Z1TWU1KQO7Q90I2,A26I0TG8D4DDNK,Approved,"Tue Jun 12 23:42:28 PDT 2012","Tue Jun 12 23:44:10 PDT 2012",true,false,true,false,false,true,true,true,true,true,true,false,false,false,true,false,true,true,false,true,true,true,false,true,true,true,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2R8YQ4J3NAB6FCXCQDPYPT1TSPZDQB,A1V7I0OR57A3ON,Approved,"Tue Jun 12 23:42:44 PDT 2012","Tue Jun 12 23:44:38 PDT 2012",true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,false,true,false,true,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",22FQQ7Q67051UHNK2QTTXC1XVQ2WCW,A3EW5OU2M6A3HY,Approved,"Tue Jun 12 23:38:30 PDT 2012","Tue Jun 12 23:45:40 PDT 2012",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2BUA1QP6AUC2AAR3I2SXAV0FTAX70D,A11J5NDVR49DET,Approved,"Tue Jun 12 23:45:14 PDT 2012","Tue Jun 12 23:46:27 PDT 2012",true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2PVQ0JG5TYMNGT98FY69ZSSH6BMKGZ,A16AK06D5FHLOF,Approved,"Tue Jun 12 23:43:47 PDT 2012","Tue Jun 12 23:47:17 PDT 2012",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2ZBWKUDD8XMB7NE6AP261TO62EZCNM,A3NR6ZNMKU2UT,Approved,"Tue Jun 12 23:46:18 PDT 2012","Tue Jun 12 23:49:04 PDT 2012",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2BC274J79KQWAYJKFVLXMCD4E7YGIL,A30HNSMQRR925K,Approved,"Tue Jun 12 23:48:08 PDT 2012","Tue Jun 12 23:51:04 PDT 2012",true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2T12NJKM05BMNQ5E9LTG0P9RJHEGBC,A1MBG9B3REVID5,Approved,"Tue Jun 12 23:43:38 PDT 2012","Tue Jun 12 23:52:50 PDT 2012",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
28UJK63ZVE3HVXVRTZH9QL5RAL5ZA1,"Determine if a statement is true or false. BONUS for correct answers!"," ",2BTK274J79KQ03C5YTXU4FCDDFIFHR,A1LXFEG4DSMTBU,Approved,"Tue Jun 12 23:50:17 PDT 2012","Tue Jun 12 23:53:59 PDT 2012",true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,false,
