HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",24DRGNTBJ3MMHUGC0WE69KHBIWY9VJ,A2WNW8A4MOR7T7,Approved,"Tue Jun 12 23:47:59 PDT 2012","Tue Jun 12 23:49:56 PDT 2012",true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2K6SCWY2AOO2KJXBRDFGXSCMFSV22C,APMEOBFFLFRLX,Approved,"Tue Jun 12 23:52:01 PDT 2012","Tue Jun 12 23:53:27 PDT 2012",true,false,true,false,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2CQU98JHSTLB7IBCM80IVBJES15EQA,A2QWZR4KRNV0I6,Approved,"Wed Jun 13 03:38:58 PDT 2012","Wed Jun 13 03:40:12 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2YNR14IXKO2LDZSBNL1643YOLMBBA5,A2ZRQR5BI9ZLBE,Approved,"Wed Jun 13 07:33:55 PDT 2012","Wed Jun 13 07:35:13 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2IF46UXFCD4519PQY2JN0KINC4GVTM,A3UWUXJ22GCVJA,Approved,"Wed Jun 13 08:54:53 PDT 2012","Wed Jun 13 08:57:55 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2P30HFL42J1L22J8IRYM7IGFTSEM1O,A30VGDRAJK8NIT,Approved,"Wed Jun 13 09:17:35 PDT 2012","Wed Jun 13 09:18:26 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2UO4ZMAZHHRRPC1XZCEVYH1KQZVKBL,A3W5CPVTONIGVI,Approved,"Wed Jun 13 12:51:41 PDT 2012","Wed Jun 13 12:53:22 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",29R2MIKMN9U8T690JINW4I3S39ERA0,AL6JCGFMIXINH,Approved,"Wed Jun 13 14:29:23 PDT 2012","Wed Jun 13 14:31:02 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",29CPFE4EGDHDQZGIJ70N6W6HNBB9JM,AYC8L9IBO6BQ0,Approved,"Wed Jun 13 17:39:35 PDT 2012","Wed Jun 13 17:40:27 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,
2L0XKO2L92HEGTL38SPOJCF0JV9EFN,"Determine if a statement is true or false. BONUS for correct answers!"," ",2C5IPDOBDDP8TG7H52484MB3ZFSC1G,A26L7403RHRQP8,Approved,"Wed Jun 13 22:28:31 PDT 2012","Wed Jun 13 22:29:42 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,false,false,false,false,false,true,
